"date_value","dispoType","Homicide","Rape","Robbery/Gun","Robbery/Other","Aggravated Assault/Gun","Aggravated Assault/Other","Other Assaults","Sexual Assault and Other Sex Offenses","Burglary/Residential","Burglary/Commercial","Theft of Motor Vehicle Tag","Theft from Person","Theft from Auto","Retail Theft","Theft","Auto Theft","Fraud/Theft of Services","Embezzlement","Drug Possession","Drug Sales","DUI","Possession of Firearms","Prostitution/Sex Work","Patronizing Prostitutes","Threats of Violence","Uncategorized Offenses"
2014-01-06,"Diversion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
2014-01-06,"Guilty",3,0,0,0,0,1,0,0,0,0,0,0,0,4,1,2,0,0,8,5,6,1,3,0,0,6
2014-01-06,"Guilty Plea/Nolo",0,0,2,0,7,3,1,1,1,1,0,0,2,2,1,4,0,0,2,10,4,1,1,0,0,4
2014-01-06,"Not Guilty/Acquittal",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2014-01-06,"Total",3,1,8,3,9,19,15,1,4,1,0,0,2,6,3,9,2,0,19,20,13,3,5,0,1,25
2014-01-07,"Dismissed/Withdrawn/Etc",0,0,1,1,1,18,3,1,1,0,0,1,0,2,1,3,3,0,5,4,4,2,0,0,1,8
2014-01-07,"Diversion",0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,8,0,0,0,0,1,0,1
2014-01-07,"Guilty",0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,4,7,2,0,0,1,0,3
2014-01-07,"Guilty Plea/Nolo",2,2,8,2,1,1,6,3,0,1,0,0,0,8,1,3,2,0,4,23,4,3,0,0,1,3
2014-01-07,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1
2014-01-07,"Total",2,2,9,3,2,20,10,4,1,1,0,1,0,13,6,6,5,0,21,35,12,5,0,2,2,16
2014-01-08,"Dismissed/Withdrawn/Etc",0,0,1,0,1,5,9,1,3,1,0,0,1,1,2,1,0,0,7,7,10,0,0,0,0,8
2014-01-08,"Diversion",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,5,0,0,0,2,0,5
2014-01-08,"Guilty",0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,9,8,5,1,1,0,1,9
2014-01-08,"Guilty Plea/Nolo",3,0,0,1,1,3,2,0,1,1,0,0,0,3,4,0,0,0,3,27,12,1,0,0,0,7
2014-01-08,"Not Guilty/Acquittal",0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,6
2014-01-08,"Total",3,0,1,2,2,13,12,1,5,2,0,0,2,6,6,1,1,0,32,49,27,3,1,2,1,35
2014-01-09,"Dismissed/Withdrawn/Etc",0,0,0,5,3,20,16,0,2,1,0,0,0,6,1,2,1,0,7,6,5,0,0,0,1,23
2014-01-09,"Diversion",0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,2,1,0,0,2,0,0,0
2014-01-09,"Guilty",0,0,0,0,2,1,0,2,1,1,0,0,0,0,1,0,0,0,2,6,4,1,0,0,1,3
2014-01-09,"Guilty Plea/Nolo",1,3,1,2,0,4,3,1,3,0,0,0,0,1,2,0,1,1,6,21,10,2,0,0,1,4
2014-01-09,"Not Guilty/Acquittal",0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,3
2014-01-09,"Total",1,3,1,7,6,27,20,3,6,2,0,0,1,11,4,2,2,2,17,34,21,4,2,1,4,33
2014-01-10,"Dismissed/Withdrawn/Etc",0,1,0,0,1,5,1,2,3,0,0,0,0,1,1,2,1,0,4,9,6,2,0,0,1,7
2014-01-10,"Diversion",0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,5,2,0,0,0,0,0,1
2014-01-10,"Guilty",0,0,0,0,1,2,0,0,0,0,0,0,1,1,2,0,0,0,6,6,5,0,1,0,0,5
2014-01-10,"Guilty Plea/Nolo",0,0,1,0,0,2,1,1,1,0,0,0,0,5,2,0,0,0,5,12,5,0,0,0,0,1
2014-01-10,"Not Guilty/Acquittal",0,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1
2014-01-10,"Total",0,1,3,0,4,9,5,3,5,0,0,1,1,7,7,2,1,0,22,29,17,2,1,0,1,15
2014-01-11,"Dismissed/Withdrawn/Etc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-11,"Diversion",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,1
2014-01-11,"Guilty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-11,"Guilty Plea/Nolo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-11,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-11,"Total",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,1
2014-01-12,"Dismissed/Withdrawn/Etc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-12,"Diversion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2014-01-12,"Guilty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-12,"Guilty Plea/Nolo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-12,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-12,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2014-01-13,"Dismissed/Withdrawn/Etc",0,0,4,1,0,11,23,1,7,0,0,0,1,3,2,3,1,0,13,3,11,2,0,0,1,9
2014-01-13,"Diversion",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,11,0,0,0,0,0,1
2014-01-13,"Guilty",1,0,0,0,0,2,5,0,0,0,0,0,0,1,2,0,0,0,11,4,4,0,0,0,0,5
2014-01-13,"Guilty Plea/Nolo",2,0,2,5,0,2,10,0,4,2,1,0,1,2,0,2,0,1,8,15,10,4,1,0,2,2
2014-01-13,"Not Guilty/Acquittal",0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,1
2014-01-13,"Total",3,0,6,6,0,16,42,1,12,2,1,0,3,6,4,5,1,1,46,35,29,6,1,0,3,18
2014-01-14,"Dismissed/Withdrawn/Etc",0,0,0,3,2,5,8,2,3,0,0,0,0,2,1,2,0,0,8,3,5,0,3,0,4,20
2014-01-14,"Diversion",0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,7,2,0,0,2,0,0,2
2014-01-14,"Guilty",0,0,0,2,0,2,1,1,0,0,0,0,0,1,0,0,1,0,6,3,4,0,3,0,0,6
2014-01-14,"Guilty Plea/Nolo",1,1,0,1,4,11,5,0,2,0,0,0,0,2,5,0,1,0,2,23,3,2,0,0,2,7
2014-01-14,"Not Guilty/Acquittal",0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2
2014-01-14,"Total",1,1,0,6,6,21,15,3,5,0,0,0,0,7,7,2,2,0,23,31,15,3,8,0,6,37
2014-01-15,"Dismissed/Withdrawn/Etc",0,0,6,3,5,3,11,0,1,0,0,1,1,1,4,0,2,0,4,2,10,0,0,0,0,8
2014-01-15,"Diversion",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,16,1,0,0,2,2,0,0
2014-01-15,"Guilty",0,0,0,1,4,0,0,0,0,0,0,0,0,1,4,0,2,0,13,4,8,1,1,0,2,4
2014-01-15,"Guilty Plea/Nolo",1,0,3,4,1,1,5,0,3,2,0,1,0,2,5,1,2,1,2,9,3,5,0,0,0,9
2014-01-15,"Not Guilty/Acquittal",0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2014-01-15,"Total",1,0,9,8,10,8,19,0,4,2,0,3,1,4,13,1,6,1,35,18,21,6,3,2,2,23
2014-01-16,"Dismissed/Withdrawn/Etc",0,0,0,7,4,12,12,4,0,1,0,0,0,5,1,3,1,0,8,6,2,2,0,0,1,26
2014-01-16,"Diversion",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,3,3,0,2,0,0,2
2014-01-16,"Guilty",0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,8,5,4,0,0,0,2,2
2014-01-16,"Guilty Plea/Nolo",2,0,1,1,1,1,4,0,1,0,0,0,0,6,0,3,0,0,1,11,7,0,0,0,0,3
2014-01-16,"Not Guilty/Acquittal",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2
2014-01-16,"Total",2,0,3,8,6,16,17,4,1,1,0,0,0,12,1,7,1,0,29,26,17,2,2,0,4,35
2014-01-17,"Dismissed/Withdrawn/Etc",0,0,1,3,1,1,4,0,2,0,0,0,0,4,7,1,2,0,8,4,16,2,0,0,0,15
2014-01-17,"Diversion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,7,0,0,0,0,1
2014-01-17,"Guilty",0,0,0,2,0,0,1,0,0,0,0,0,0,2,3,0,0,0,13,7,8,0,4,0,1,8
2014-01-17,"Guilty Plea/Nolo",0,1,1,0,0,3,1,0,0,0,0,0,3,2,0,1,0,1,6,3,10,2,0,0,0,3
2014-01-17,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,4
2014-01-17,"Total",0,1,2,5,1,4,6,0,2,0,0,0,3,8,10,3,2,1,33,18,41,5,4,0,1,31
2014-01-18,"Dismissed/Withdrawn/Etc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-18,"Diversion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1
2014-01-18,"Guilty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-18,"Guilty Plea/Nolo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-18,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-18,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1
2014-01-19,"Dismissed/Withdrawn/Etc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-19,"Diversion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
2014-01-19,"Guilty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-19,"Guilty Plea/Nolo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-19,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-19,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
2014-01-21,"Dismissed/Withdrawn/Etc",0,0,8,5,1,6,10,2,3,1,0,0,1,1,0,2,1,0,2,6,5,3,0,0,1,14
2014-01-21,"Diversion",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,2,1,0,1
2014-01-21,"Guilty",2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7,1,3,0,0,0,0,3
2014-01-21,"Guilty Plea/Nolo",1,4,3,0,0,2,2,0,3,0,0,0,0,0,1,1,2,0,0,11,4,4,0,0,0,7
2014-01-21,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2014-01-21,"Total",3,4,11,5,1,9,12,2,6,1,0,0,1,6,1,3,4,0,12,19,12,7,2,1,1,25
2014-01-22,"Dismissed/Withdrawn/Etc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014-01-22,"Diversion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-22,"Guilty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-22,"Guilty Plea/Nolo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-22,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-22,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014-01-23,"Dismissed/Withdrawn/Etc",0,1,2,3,5,11,13,0,4,0,0,0,0,4,2,0,1,1,6,2,5,1,0,0,1,7
2014-01-23,"Diversion",0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,2,0,9,1,0,0,1,1,0,3
2014-01-23,"Guilty",0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,10,4,1,0,8,0,1,7
2014-01-23,"Guilty Plea/Nolo",0,0,1,0,3,4,10,0,2,1,0,0,1,6,0,0,0,0,3,23,4,1,0,0,0,4
2014-01-23,"Not Guilty/Acquittal",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2014-01-23,"Total",0,1,3,3,9,16,25,0,6,1,0,0,1,23,3,0,3,1,28,31,10,2,9,1,2,21
2014-01-24,"Dismissed/Withdrawn/Etc",0,0,0,1,3,6,2,0,5,0,0,0,1,3,4,1,0,1,10,6,4,2,0,0,3,5
2014-01-24,"Diversion",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,4,2,0,0,0,0,0,6
2014-01-24,"Guilty",0,0,0,0,0,5,0,0,0,0,0,0,2,2,2,0,0,0,16,6,3,3,2,0,1,4
2014-01-24,"Guilty Plea/Nolo",1,2,0,2,1,4,0,2,3,3,0,0,0,0,1,0,1,0,3,12,3,1,1,0,0,1
2014-01-24,"Not Guilty/Acquittal",0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,2
2014-01-24,"Total",1,2,0,3,4,19,2,2,9,3,0,0,3,6,8,1,1,2,33,26,16,6,3,0,4,18
2014-01-25,"Dismissed/Withdrawn/Etc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-25,"Diversion",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,107,15,3,0,0,0,0,6
2014-01-25,"Guilty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-25,"Guilty Plea/Nolo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-25,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-25,"Total",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,107,15,3,0,0,0,0,6
2014-01-26,"Dismissed/Withdrawn/Etc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-26,"Diversion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,2
2014-01-26,"Guilty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-26,"Guilty Plea/Nolo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-26,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-26,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,2
2014-01-27,"Dismissed/Withdrawn/Etc",0,0,0,4,5,5,17,2,3,0,0,0,1,1,5,0,0,0,1,5,3,1,0,0,0,18
2014-01-27,"Diversion",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,6,1,0,0,0,0,0,0
2014-01-27,"Guilty",0,0,0,0,0,1,1,0,0,1,0,0,2,1,2,1,0,0,13,4,8,0,1,0,1,8
2014-01-27,"Guilty Plea/Nolo",0,0,5,2,4,0,1,0,1,3,0,0,0,5,2,0,1,0,4,12,9,3,0,1,0,2
2014-01-27,"Not Guilty/Acquittal",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,3,3
2014-01-27,"Total",0,0,5,6,9,6,21,2,4,4,0,0,4,8,9,2,1,0,24,23,21,5,1,1,4,31
2014-01-28,"Dismissed/Withdrawn/Etc",0,0,1,0,2,6,11,0,2,0,0,0,0,1,0,0,1,0,4,6,2,0,0,0,0,9
2014-01-28,"Diversion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,3,0,0,0
2014-01-28,"Guilty",0,0,0,0,1,1,5,0,0,0,0,0,0,5,0,0,0,0,7,7,5,0,6,0,0,0
2014-01-28,"Guilty Plea/Nolo",0,3,1,2,1,4,2,0,3,0,0,0,0,3,3,0,2,0,1,21,6,2,1,0,0,4
2014-01-28,"Not Guilty/Acquittal",0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2
2014-01-28,"Total",0,3,2,2,4,12,20,0,6,0,1,0,0,9,3,0,4,0,17,35,13,3,10,0,0,15
2014-01-29,"Dismissed/Withdrawn/Etc",0,1,2,3,1,8,6,0,2,0,0,0,1,4,0,0,2,0,11,8,6,1,0,0,0,13
2014-01-29,"Diversion",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,4
2014-01-29,"Guilty",0,0,0,1,1,2,1,0,0,0,0,0,1,6,2,1,1,0,12,14,3,0,4,0,0,2
2014-01-29,"Guilty Plea/Nolo",0,0,2,1,1,3,2,0,9,2,0,0,0,9,1,0,1,0,11,10,3,2,0,0,1,12
2014-01-29,"Not Guilty/Acquittal",0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,1,0,0,0,2
2014-01-29,"Total",0,1,4,6,3,14,9,0,12,2,0,0,3,20,3,1,4,1,38,34,13,4,4,0,1,33
2014-01-30,"Dismissed/Withdrawn/Etc",0,3,4,3,0,10,19,0,3,0,0,0,1,5,1,1,2,0,3,3,6,1,0,0,3,12
2014-01-30,"Diversion",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,9,2,4,0,3,1,0,3
2014-01-30,"Guilty",1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,3,6,0,0,1,1,0,2
2014-01-30,"Guilty Plea/Nolo",0,0,1,3,0,0,1,0,4,0,0,0,0,3,1,0,3,0,2,25,11,1,1,0,1,20
2014-01-30,"Not Guilty/Acquittal",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,0,0,0,0
2014-01-30,"Total",1,3,5,7,1,10,22,0,7,0,0,0,1,10,3,1,5,0,18,38,25,2,5,2,4,37
2014-01-31,"Dismissed/Withdrawn/Etc",0,2,0,2,4,2,3,0,1,1,0,0,0,4,2,1,0,0,11,19,8,1,0,0,1,5
2014-01-31,"Diversion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,2,3,0,2,3,0,1
2014-01-31,"Guilty",1,1,0,0,3,0,4,0,0,0,0,0,2,4,5,0,1,0,12,14,6,0,3,1,0,7
2014-01-31,"Guilty Plea/Nolo",0,0,0,0,0,2,4,1,4,0,0,0,0,2,0,1,0,0,2,2,10,0,0,0,0,6
2014-01-31,"Not Guilty/Acquittal",0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
2014-01-31,"Total",1,3,0,2,7,5,13,1,5,1,0,0,2,10,9,2,1,0,42,38,27,1,5,4,1,20
2014-02-01,"Dismissed/Withdrawn/Etc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-01,"Diversion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4
2014-02-01,"Guilty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-01,"Guilty Plea/Nolo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-01,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-01,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4
2014-02-02,"Dismissed/Withdrawn/Etc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-02,"Diversion",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1
2014-02-02,"Guilty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-02,"Guilty Plea/Nolo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-02,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-02,"Total",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1
2014-02-03,"Dismissed/Withdrawn/Etc",0,1,3,3,4,10,18,1,1,1,0,1,1,1,1,2,0,0,8,2,5,1,0,0,3,6
2014-02-03,"Diversion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,2,0,0,4
2014-02-03,"Guilty",0,0,0,0,0,1,1,1,0,0,0,0,2,3,1,0,0,0,13,9,1,0,1,0,0,3
2014-02-03,"Guilty Plea/Nolo",3,0,0,0,0,1,1,0,4,0,0,0,0,1,1,1,0,0,0,6,9,2,0,0,1,3
2014-02-03,"Not Guilty/Acquittal",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1
2014-02-03,"Total",3,1,3,3,4,12,21,2,6,1,0,1,3,5,3,3,0,0,32,21,17,4,3,0,4,17
2014-02-04,"Dismissed/Withdrawn/Etc",0,0,0,5,2,11,5,0,2,0,0,1,1,4,1,1,1,0,7,6,6,1,0,0,2,8
2014-02-04,"Diversion",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,17,0,0,0,0,0,0,1
