"date_value","dispoType","Retail Theft","Theft","Fraud/Theft of Services","Vandalism","Alcohol Possession by Minor","Public Drunkenness","Trespass","Disorderly Conduct","Minor Violations (Open Container, Public Urination, Smoking Violation)","Uncategorized Offenses"
2014-01-13,"Guilty Plea/Nolo",0,0,0,0,0,0,0,1,1,1
2014-01-13,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0
2014-01-13,"Total",0,0,0,0,0,0,0,1,1,1
2014-01-14,"Dismissed/Withdrawn/Etc",0,0,1,0,0,0,0,0,0,0
2014-01-14,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-01-14,"Guilty",0,0,0,0,0,0,0,0,0,0
2014-01-14,"Guilty Plea/Nolo",2,0,0,0,0,0,0,1,1,1
2014-01-14,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0
2014-01-14,"Total",2,0,1,0,0,0,0,1,1,1
2014-01-15,"Dismissed/Withdrawn/Etc",0,0,1,0,0,0,0,4,0,1
2014-01-15,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-01-15,"Guilty",0,0,0,0,0,0,0,0,0,0
2014-01-15,"Guilty Plea/Nolo",0,0,0,0,0,0,0,0,2,0
2014-01-15,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0
2014-01-15,"Total",0,0,1,0,0,0,0,4,2,1
2014-01-16,"Dismissed/Withdrawn/Etc",0,0,0,0,0,0,0,0,0,1
2014-01-16,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-01-16,"Guilty",0,0,0,0,0,0,0,0,0,0
2014-01-16,"Guilty Plea/Nolo",0,0,0,0,0,0,0,0,2,1
2014-01-16,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0
2014-01-16,"Total",0,0,0,0,0,0,0,0,2,2
2014-01-17,"Dismissed/Withdrawn/Etc",1,0,0,0,0,0,0,0,0,1
2014-01-17,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-01-17,"Guilty",0,0,0,0,0,0,0,0,0,0
2014-01-17,"Guilty Plea/Nolo",0,0,0,0,0,0,0,0,0,1
2014-01-17,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0
2014-01-17,"Total",1,0,0,0,0,0,0,0,0,2
2014-01-21,"Dismissed/Withdrawn/Etc",7,0,2,2,0,0,10,10,48,39
2014-01-21,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-01-21,"Guilty",0,0,6,0,0,3,5,10,8,20
2014-01-21,"Guilty Plea/Nolo",0,0,0,0,0,0,0,1,1,2
2014-01-21,"Not Guilty/Acquittal",0,0,0,0,0,0,0,7,0,0
2014-01-21,"Total",7,0,8,2,0,3,15,28,57,61
2014-01-23,"Dismissed/Withdrawn/Etc",22,1,4,1,0,0,4,9,49,33
2014-01-23,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-01-23,"Guilty",2,0,6,2,0,0,5,6,10,12
2014-01-23,"Guilty Plea/Nolo",2,0,0,2,0,0,1,3,2,3
2014-01-23,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0
2014-01-23,"Total",26,1,10,5,0,0,10,18,61,48
2014-01-24,"Dismissed/Withdrawn/Etc",3,0,0,0,0,0,2,1,4,14
2014-01-24,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-01-24,"Guilty",0,0,1,0,0,0,0,0,0,0
2014-01-24,"Guilty Plea/Nolo",0,0,0,0,0,0,1,0,1,11
2014-01-24,"Not Guilty/Acquittal",0,0,0,0,0,0,1,0,2,2
2014-01-24,"Total",3,0,1,0,0,0,4,1,7,27
2014-01-25,"Dismissed/Withdrawn/Etc",0,0,0,0,0,0,0,0,0,0
2014-01-25,"Diversion",18,0,6,0,6,1,4,17,31,59
2014-01-25,"Guilty",0,0,0,0,0,0,0,0,0,0
2014-01-25,"Guilty Plea/Nolo",0,0,0,0,0,0,0,0,0,0
2014-01-25,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0
2014-01-25,"Total",18,0,6,0,6,1,4,17,31,59
2014-01-27,"Dismissed/Withdrawn/Etc",8,0,1,1,0,0,1,0,4,9
2014-01-27,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-01-27,"Guilty",1,0,17,0,1,3,12,13,43,45
2014-01-27,"Guilty Plea/Nolo",4,0,0,0,0,0,0,1,4,2
2014-01-27,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,2,7
2014-01-27,"Total",13,0,18,1,1,3,13,14,53,63
2014-01-28,"Dismissed/Withdrawn/Etc",4,0,1,1,0,0,0,1,5,12
2014-01-28,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-01-28,"Guilty",2,0,10,0,0,1,7,13,71,44
2014-01-28,"Guilty Plea/Nolo",0,0,0,0,1,0,0,0,0,2
2014-01-28,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,2
2014-01-28,"Total",6,0,11,1,1,1,7,14,76,60
2014-01-29,"Dismissed/Withdrawn/Etc",6,0,5,0,0,0,0,2,7,6
2014-01-29,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-01-29,"Guilty",1,0,7,0,0,4,6,15,56,38
2014-01-29,"Guilty Plea/Nolo",1,0,1,0,0,0,0,1,1,8
2014-01-29,"Not Guilty/Acquittal",0,0,1,0,0,1,0,1,1,4
2014-01-29,"Total",8,0,14,0,0,5,6,19,65,56
2014-01-30,"Dismissed/Withdrawn/Etc",18,0,6,0,0,0,5,0,5,13
2014-01-30,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-01-30,"Guilty",5,0,12,0,0,0,4,10,47,34
2014-01-30,"Guilty Plea/Nolo",1,0,1,0,0,0,1,0,7,4
2014-01-30,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,1
2014-01-30,"Total",24,0,19,0,0,0,10,10,59,52
2014-01-31,"Dismissed/Withdrawn/Etc",10,0,1,0,0,0,1,3,1,9
2014-01-31,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-01-31,"Guilty",1,0,1,0,0,0,1,0,0,1
2014-01-31,"Guilty Plea/Nolo",0,0,0,0,0,1,1,0,0,8
2014-01-31,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,1,2
2014-01-31,"Total",11,0,2,0,0,1,3,3,2,20
2014-02-03,"Dismissed/Withdrawn/Etc",18,0,9,2,0,0,1,0,2,8
2014-02-03,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-02-03,"Guilty",4,0,7,0,2,6,3,12,47,39
2014-02-03,"Guilty Plea/Nolo",1,0,1,0,0,0,0,0,1,5
2014-02-03,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0
2014-02-03,"Total",23,0,17,2,2,6,4,12,50,52
2014-02-04,"Dismissed/Withdrawn/Etc",11,0,1,1,0,0,0,1,1,3
2014-02-04,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-02-04,"Guilty",1,0,15,0,1,3,8,14,56,42
2014-02-04,"Guilty Plea/Nolo",2,0,0,0,0,0,0,0,2,1
2014-02-04,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0
2014-02-04,"Total",14,0,16,1,1,3,8,15,59,46
2014-02-05,"Dismissed/Withdrawn/Etc",3,0,11,0,0,0,1,1,6,18
2014-02-05,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-02-05,"Guilty",0,0,10,0,0,1,4,5,52,38
2014-02-05,"Guilty Plea/Nolo",0,0,0,0,0,0,0,0,4,4
2014-02-05,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0
2014-02-05,"Total",3,0,21,0,0,1,5,6,62,60
2014-02-06,"Dismissed/Withdrawn/Etc",18,0,1,0,0,0,1,1,3,14
2014-02-06,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-02-06,"Guilty",2,0,17,1,3,1,8,16,45,47
2014-02-06,"Guilty Plea/Nolo",0,0,1,1,0,0,0,0,1,1
2014-02-06,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0
2014-02-06,"Total",20,0,19,2,3,1,9,17,49,62
2014-02-07,"Dismissed/Withdrawn/Etc",17,0,2,0,0,0,3,1,2,20
2014-02-07,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-02-07,"Guilty",1,0,12,1,1,1,4,9,69,43
2014-02-07,"Guilty Plea/Nolo",0,0,0,0,0,0,0,1,3,3
2014-02-07,"Not Guilty/Acquittal",0,0,0,0,0,0,1,0,0,0
2014-02-07,"Total",18,0,14,1,1,1,8,11,74,66
2014-02-08,"Dismissed/Withdrawn/Etc",0,0,0,0,0,0,0,0,0,0
2014-02-08,"Diversion",43,1,7,2,18,9,11,57,41,68
2014-02-08,"Guilty",0,0,0,0,0,0,0,0,0,0
2014-02-08,"Guilty Plea/Nolo",0,0,0,0,0,0,0,0,0,0
2014-02-08,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0
2014-02-08,"Total",43,1,7,2,18,9,11,57,41,68
2014-02-10,"Dismissed/Withdrawn/Etc",10,0,0,0,0,0,0,1,0,5
2014-02-10,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-02-10,"Guilty",1,0,16,0,0,2,5,4,72,45
2014-02-10,"Guilty Plea/Nolo",0,0,0,1,0,0,0,0,1,3
2014-02-10,"Not Guilty/Acquittal",0,0,0,1,0,0,0,0,1,0
2014-02-10,"Total",11,0,16,2,0,2,5,5,74,53
2014-02-11,"Dismissed/Withdrawn/Etc",5,0,1,0,0,0,0,0,0,2
2014-02-11,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-02-11,"Guilty",3,0,17,0,0,1,9,9,53,32
2014-02-11,"Guilty Plea/Nolo",1,0,2,0,0,0,1,1,2,2
2014-02-11,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,2,2
2014-02-11,"Total",9,0,20,0,0,1,10,10,57,38
2014-02-12,"Dismissed/Withdrawn/Etc",7,0,3,0,0,0,0,1,6,13
2014-02-12,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-02-12,"Guilty",1,0,8,0,0,1,4,8,60,41
2014-02-12,"Guilty Plea/Nolo",3,0,4,0,0,0,0,0,13,7
2014-02-12,"Not Guilty/Acquittal",0,0,0,0,0,0,0,2,3,0
2014-02-12,"Total",11,0,15,0,0,1,4,11,82,61
2014-02-18,"Dismissed/Withdrawn/Etc",8,0,0,0,0,0,0,0,1,1
2014-02-18,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-02-18,"Guilty",1,0,11,0,1,1,5,11,31,32
2014-02-18,"Guilty Plea/Nolo",4,0,0,0,0,0,1,0,3,5
2014-02-18,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0
2014-02-18,"Total",13,0,11,0,1,1,6,11,35,38
2014-02-19,"Dismissed/Withdrawn/Etc",1,0,4,0,0,0,0,2,6,4
2014-02-19,"Diversion",0,0,1,0,0,0,0,0,0,0
2014-02-19,"Guilty",0,0,19,1,0,1,2,8,50,32
2014-02-19,"Guilty Plea/Nolo",0,0,0,0,0,0,0,0,4,17
2014-02-19,"Not Guilty/Acquittal",0,0,0,0,0,0,1,0,1,0
2014-02-19,"Total",1,0,24,1,0,1,3,10,61,53
2014-02-20,"Dismissed/Withdrawn/Etc",8,0,1,0,0,0,1,0,1,3
2014-02-20,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-02-20,"Guilty",0,0,13,0,1,0,8,10,46,34
2014-02-20,"Guilty Plea/Nolo",0,0,1,0,1,0,0,1,4,5
2014-02-20,"Not Guilty/Acquittal",0,0,0,5,0,0,0,0,0,1
2014-02-20,"Total",8,0,15,5,2,0,9,11,51,43
2014-02-21,"Dismissed/Withdrawn/Etc",7,0,20,3,0,0,0,0,6,22
2014-02-21,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-02-21,"Guilty",1,0,3,0,0,2,7,9,37,29
2014-02-21,"Guilty Plea/Nolo",2,0,2,0,0,0,0,2,2,9
2014-02-21,"Not Guilty/Acquittal",0,0,0,0,0,0,0,1,0,2
2014-02-21,"Total",10,0,25,3,0,2,7,12,45,62
2014-02-22,"Dismissed/Withdrawn/Etc",0,0,0,0,0,0,0,0,0,0
2014-02-22,"Diversion",22,0,13,1,6,2,9,22,28,46
2014-02-22,"Guilty",0,0,0,0,0,0,0,0,0,0
2014-02-22,"Guilty Plea/Nolo",0,0,0,0,0,0,0,0,0,0
2014-02-22,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0
2014-02-22,"Total",22,0,13,1,6,2,9,22,28,46
2014-02-24,"Dismissed/Withdrawn/Etc",4,0,2,0,1,0,1,1,6,15
2014-02-24,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-02-24,"Guilty",0,0,4,0,0,3,2,5,37,27
2014-02-24,"Guilty Plea/Nolo",1,0,0,0,0,0,0,0,3,2
2014-02-24,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0
2014-02-24,"Total",5,0,6,0,1,3,3,6,46,44
2014-02-25,"Dismissed/Withdrawn/Etc",0,0,0,0,0,0,0,0,0,0
2014-02-25,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-02-25,"Guilty",4,0,23,0,0,0,1,5,31,31
2014-02-25,"Guilty Plea/Nolo",0,0,0,0,0,0,0,0,3,5
2014-02-25,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0
2014-02-25,"Total",4,0,23,0,0,0,1,5,34,36
2014-02-26,"Dismissed/Withdrawn/Etc",0,0,3,0,0,0,0,0,3,5
2014-02-26,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-02-26,"Guilty",0,0,3,0,0,1,5,6,19,25
2014-02-26,"Guilty Plea/Nolo",1,0,1,0,0,0,0,1,3,13
2014-02-26,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0
2014-02-26,"Total",1,0,7,0,0,1,5,7,25,43
2014-02-27,"Dismissed/Withdrawn/Etc",4,0,0,0,0,0,1,1,3,10
2014-02-27,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-02-27,"Guilty",1,0,0,1,0,0,0,3,23,23
2014-02-27,"Guilty Plea/Nolo",1,0,1,0,0,0,0,0,5,3
2014-02-27,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0
2014-02-27,"Total",6,0,1,1,0,0,1,4,31,36
2014-02-28,"Dismissed/Withdrawn/Etc",14,0,3,0,0,0,1,0,2,8
2014-02-28,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-02-28,"Guilty",3,0,4,0,0,4,0,4,30,28
2014-02-28,"Guilty Plea/Nolo",2,0,1,0,0,0,1,0,0,7
2014-02-28,"Not Guilty/Acquittal",0,0,0,0,0,0,1,0,0,1
2014-02-28,"Total",19,0,8,0,0,4,3,4,32,44
2014-03-04,"Dismissed/Withdrawn/Etc",0,0,0,1,0,0,0,0,0,1
2014-03-04,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-03-04,"Guilty",6,0,9,0,0,2,4,12,32,27
2014-03-04,"Guilty Plea/Nolo",1,0,0,0,0,0,0,0,2,2
2014-03-04,"Not Guilty/Acquittal",1,0,0,0,0,1,0,0,1,2
2014-03-04,"Total",8,0,9,1,0,3,4,12,35,32
2014-03-05,"Dismissed/Withdrawn/Etc",1,0,0,3,0,0,0,2,3,2
2014-03-05,"Diversion",0,0,2,0,0,0,0,0,0,0
2014-03-05,"Guilty",4,0,16,0,0,0,1,8,17,19
2014-03-05,"Guilty Plea/Nolo",0,0,0,0,0,0,0,0,4,2
2014-03-05,"Not Guilty/Acquittal",0,0,0,1,0,0,1,0,1,1
2014-03-05,"Total",5,0,18,4,0,0,2,10,25,24
2014-03-06,"Dismissed/Withdrawn/Etc",7,0,5,0,0,0,1,0,0,8
2014-03-06,"Diversion",0,0,0,0,0,0,0,0,1,0
2014-03-06,"Guilty",1,0,6,2,0,1,1,8,25,17
2014-03-06,"Guilty Plea/Nolo",4,0,0,0,0,0,0,0,5,0
2014-03-06,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0
2014-03-06,"Total",12,0,11,2,0,1,2,8,31,25
2014-03-07,"Dismissed/Withdrawn/Etc",6,0,0,0,0,0,2,0,2,15
2014-03-07,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-03-07,"Guilty",0,0,9,0,0,0,5,4,28,23
2014-03-07,"Guilty Plea/Nolo",0,0,3,0,0,0,1,0,1,5
2014-03-07,"Not Guilty/Acquittal",0,0,1,0,0,0,0,0,0,3
2014-03-07,"Total",6,0,13,0,0,0,8,4,31,46
2014-03-08,"Dismissed/Withdrawn/Etc",0,0,0,0,0,0,0,0,0,0
2014-03-08,"Diversion",54,0,19,0,12,2,8,49,44,84
2014-03-08,"Guilty",0,0,0,0,0,0,0,0,0,0
2014-03-08,"Guilty Plea/Nolo",0,0,0,0,0,0,0,0,0,0
2014-03-08,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0
2014-03-08,"Total",54,0,19,0,12,2,8,49,44,84
2014-03-10,"Dismissed/Withdrawn/Etc",0,0,1,0,0,0,5,6,20,16
2014-03-10,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-03-10,"Guilty",0,0,20,0,0,0,0,2,5,10
2014-03-10,"Guilty Plea/Nolo",1,0,0,0,0,0,0,0,1,3
2014-03-10,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0
2014-03-10,"Total",1,0,21,0,0,0,5,8,26,29
2014-03-11,"Dismissed/Withdrawn/Etc",0,0,0,0,0,3,1,0,24,17
2014-03-11,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-03-11,"Guilty",0,0,7,0,0,0,4,5,4,9
2014-03-11,"Guilty Plea/Nolo",1,0,0,0,0,0,0,0,5,7
2014-03-11,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,1,0
2014-03-11,"Total",1,0,7,0,0,3,5,5,34,33
2014-03-12,"Dismissed/Withdrawn/Etc",0,0,2,1,0,0,4,0,17,18
2014-03-12,"Diversion",0,0,1,0,0,0,0,0,0,0
2014-03-12,"Guilty",3,0,16,0,0,0,0,2,3,8
2014-03-12,"Guilty Plea/Nolo",1,0,1,1,0,0,0,0,2,3
2014-03-12,"Not Guilty/Acquittal",0,0,0,0,0,0,1,0,0,0
2014-03-12,"Total",4,0,20,2,0,0,5,2,22,29
2014-03-13,"Dismissed/Withdrawn/Etc",6,0,0,0,0,1,1,6,24,25
2014-03-13,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-03-13,"Guilty",1,0,2,0,0,0,2,5,3,8
2014-03-13,"Guilty Plea/Nolo",2,0,0,0,0,0,1,1,6,8
2014-03-13,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,2
2014-03-13,"Total",9,0,2,0,0,1,4,12,33,43
2014-03-14,"Dismissed/Withdrawn/Etc",46,0,7,2,0,0,1,3,19,32
2014-03-14,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-03-14,"Guilty",6,0,2,0,0,0,0,2,5,11
2014-03-14,"Guilty Plea/Nolo",4,0,0,0,0,0,1,1,5,13
2014-03-14,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0
2014-03-14,"Total",56,0,9,2,0,0,2,6,29,56
2014-03-17,"Dismissed/Withdrawn/Etc",6,0,0,2,0,0,0,0,4,4
2014-03-17,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-03-17,"Guilty",0,0,17,0,0,1,1,6,25,27
2014-03-17,"Guilty Plea/Nolo",0,0,0,0,0,0,0,0,3,3
2014-03-17,"Not Guilty/Acquittal",0,0,0,0,0,0,0,1,0,2
2014-03-17,"Total",6,0,17,2,0,1,1,7,32,36
2014-03-18,"Dismissed/Withdrawn/Etc",5,0,0,0,0,1,1,1,0,4
2014-03-18,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-03-18,"Guilty",1,0,5,0,0,1,3,7,32,27
2014-03-18,"Guilty Plea/Nolo",0,0,0,0,0,0,0,0,3,7
2014-03-18,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,1
2014-03-18,"Total",6,0,5,0,0,2,4,8,35,39
2014-03-19,"Dismissed/Withdrawn/Etc",0,0,2,0,0,0,0,1,2,9
2014-03-19,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-03-19,"Guilty",1,0,4,0,0,0,3,4,12,15
2014-03-19,"Guilty Plea/Nolo",0,0,0,0,0,0,0,1,3,5
2014-03-19,"Not Guilty/Acquittal",0,0,1,0,0,0,0,3,1,2
2014-03-19,"Total",1,0,7,0,0,0,3,9,18,31
2014-03-20,"Dismissed/Withdrawn/Etc",2,0,0,0,0,0,0,0,2,2
2014-03-20,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-03-20,"Guilty",0,0,3,0,0,0,0,4,24,25
2014-03-20,"Guilty Plea/Nolo",0,0,0,0,0,0,0,0,1,2
2014-03-20,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,2,0
2014-03-20,"Total",2,0,3,0,0,0,0,4,29,29
2014-03-21,"Dismissed/Withdrawn/Etc",7,0,2,4,0,0,1,6,3,17
2014-03-21,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-03-21,"Guilty",1,0,6,0,0,0,0,7,30,26
2014-03-21,"Guilty Plea/Nolo",2,0,2,0,0,0,1,0,1,11
2014-03-21,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,1
2014-03-21,"Total",10,0,10,4,0,0,2,13,34,55
2014-03-22,"Dismissed/Withdrawn/Etc",0,0,0,0,0,0,0,0,0,0
2014-03-22,"Diversion",25,1,11,0,5,2,4,21,21,30
2014-03-22,"Guilty",0,0,0,0,0,0,0,0,0,0
2014-03-22,"Guilty Plea/Nolo",0,0,0,0,0,0,0,0,0,0
2014-03-22,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0
2014-03-22,"Total",25,1,11,0,5,2,4,21,21,30
2014-03-24,"Dismissed/Withdrawn/Etc",0,0,0,0,0,0,0,1,0,1
2014-03-24,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-03-24,"Guilty",0,0,0,0,0,0,0,0,0,0
2014-03-24,"Guilty Plea/Nolo",4,0,0,0,0,0,0,0,1,5
2014-03-24,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0
2014-03-24,"Total",4,0,0,0,0,0,0,1,1,6
2014-03-25,"Dismissed/Withdrawn/Etc",0,0,0,0,0,0,0,0,0,0
2014-03-25,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-03-25,"Guilty",0,0,0,0,0,0,0,0,0,0
2014-03-25,"Guilty Plea/Nolo",1,0,0,0,0,0,0,1,4,4
2014-03-25,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0
2014-03-25,"Total",1,0,0,0,0,0,0,1,4,4
2014-03-26,"Dismissed/Withdrawn/Etc",1,0,2,0,0,0,0,0,0,0
2014-03-26,"Diversion",0,0,2,0,0,0,0,0,0,0
2014-03-26,"Guilty",0,0,0,0,0,0,0,0,0,0
2014-03-26,"Guilty Plea/Nolo",1,0,5,0,0,0,0,0,4,2
2014-03-26,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0
2014-03-26,"Total",2,0,9,0,0,0,0,0,4,2
2014-03-27,"Dismissed/Withdrawn/Etc",0,0,0,0,0,0,0,0,0,0
2014-03-27,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-03-27,"Guilty",0,0,0,0,0,0,0,0,0,0
2014-03-27,"Guilty Plea/Nolo",0,0,0,0,0,0,1,1,5,6
2014-03-27,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0
2014-03-27,"Total",0,0,0,0,0,0,1,1,5,6
2014-03-28,"Dismissed/Withdrawn/Etc",3,0,1,0,0,0,1,2,0,6
2014-03-28,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-03-28,"Guilty",0,0,0,0,0,0,1,0,0,3
2014-03-28,"Guilty Plea/Nolo",4,0,2,0,0,0,2,0,0,12
2014-03-28,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,1
2014-03-28,"Total",7,0,3,0,0,0,4,2,0,22
2014-03-31,"Dismissed/Withdrawn/Etc",21,1,1,2,0,0,0,1,3,6
2014-03-31,"Diversion",0,0,0,0,0,0,0,0,0,0
