Program.Name,DBA,Street,City,State,Zipcode,Phone,Certification
"Pinnacle Treatment Centers PA-VI, LLC dba Greenfield Counseling, Inc.",Greenfield Counseling,11127 Perry Hwy,Meadville,PA,16335,814-337-7431,Certified
"Discovery House CC, LLC",Discovery House,920 Century Drive,Mechanicsburg,PA,17055,(717) 766-6974,Certified
Rainbow Recovery Center,,112 Timber Village Lane,Mercer,PA,16137,(724) 269-5130,Certified
Bradford Recovery Center,,64 School St,Millerton,PA,16936,(570) 537-6035,Provisional
"Pennsylvania Associates, LLC",Mount Pocono Medical,1151 Pocono Blvd Unit #3,Mt Pocono,PA,18344-1033,570-839-7246,Certified
"Discovery House-NC, LLC",Discovery House,2710 West State Street,New Castle,PA,16101,(724) 598-7999,Certified
Valley Forge Medical Center and Hospital,,1033 West Germantown Pike,Norristown,PA,19403,(610) 539-8500,Certified
Montgomery County Recovery Center,,316 DeKalb St.,Norristown,PA,19401,(610) 272-3710,Certified
"Habit Opco, LLC",Habit Opco - Allentown,"2970 Corporate Court, Suite 1",Orefield,PA,18069,(610) 481-0444,Certified
Polaris Renewal Services,,3591 Pittsburgh Road,Perryopolis,PA,15473,(724) 736-8390,Certified
Family Center,Family Center,1233 Locust Street,Philadelphia,PA,19007,(215) 955-8577,Certified
"Addiction Medicine and Health Advocates, Inc.","AMHA, Inc.",928 Market Street,Philadelphia,PA,19107-4220,(215) 923-4202,Certified
SOAR,,9150 Marshall Street,Philadelphia,PA,19115,(215) 464-4450,Certified
"NorthEast Treatment Services, Inc",North East Treatment Centers,499 N. 5th street,Philadelphia,PA,19123,(215) 451-7034,Certified
"Northeast Treatment Centers, Inc",NET Steps II,7520 State Road,Philadelphia,PA,19136,(267) 348-3550,Certified
The Healing Way,THW Group - The Healing Way,7900 Frankford Avenue,Philadelphia,PA,19136,(215) 335-3520,Certified
Achievement Through Counseling and Treatment (ACT 1),,5820 Old York Rd.,Philadelphia,PA,19141,(215) 276-8400,Certified
"The Consortium, Inc.",Drug Abuse Rehabilitation Program (D.A.R.P.),451 University Ave.,Philadelphia,PA,19104,(215) 596-8000,Certified
Narcotic Addict Rehabilitation Program of Thomas Jefferson University,,"NE Corner, 21st St. & Washington Ave.",Philadelphia,PA,19146,215-790-9942,Certified
John F. Kennedy Drug Treatment Clinic,,907 North Broad St.,Philadelphia,PA,19123,(215) 235-5520,Certified
VAMC Opioid Treatment Program,,"38th and Woodland Ave., Bldg. 3",Philadelphia,PA,19104,(215) 823-5809,Certified
Mercy Philadelphia Hospital,,501 South 54th St.,Philadelphia,PA,19143,(215) 748-9391,Certified
Merakey Parkside Recovery,,5000 Parkside Ave.,Philadelphia,PA,19131,215-879-6116,Certified
Achievement Through Counseling and Treatment (ACT II),,1745 North Fourth St.,Philadelphia,PA,19122,(215) 236-0100,Certified
Merakey Parkside Recovery,Merakey Parkside Recovery- Germantown,5429 Germantown Ave.,Philadelphia,PA,19144,(215) 754-0246,Certified
NorthEast Treatment Centers - OTP,Net Steps,2205 Bridge St.,Philadelphia,PA,19137,215-743-6150,Certified
North Philadelphia Health System-Goldman,,Girard Medical Center 801 W. Girard Avenue,Philadelphia,PA,19122,(215) 787-2080,Certified
Kirkbride Center - A Better Way,,111 North 49th St.,Philadelphia,PA,19139,(215) 471-2600,Certified
Kensington Hospital Outpatient Treatment Program,Kensington Hospital,2100 North Front Street,Philadelphia,PA,19122,(215) 426-8100,Certified
"Western Psychiatric Institute and Clinic, Narcotic Addiction treatment Program",,225 Penn Avenue,Pittsburgh,PA,15221,(412) 864-5300,Certified
"Pinnacle Treatment Centers PA-I, LLC",Alliance Medical Services Ensign I,729 Ensign Ave.,Pittsburgh,PA,15226,(412) 488-6360,Certified
"Pinnacle Treatment Centers PA-II, LLC",Alliance Medical Services Ensign II,739 Ensign Ave.,Pittsburgh,PA,15226,(412) 488-6360,Certified
"Center for Behavioral Health-PA, LLC",Discovery House,1391 Washington Blvd.,Pittsburgh,PA,15206,(412) 661-9222,Certified
"Progressive Medical Specialists, Inc.",Progressive Medical,2900 Smallman St,Pittsburgh,PA,15201,(412) 391-6384,Certified
"Tadiso, Inc.",,1425 Beaver Ave.,Pittsburgh,PA,15233,(412) 322-8415,Certified
VA Pittsburgh Healthcare System Center for Treatment of Addictive Disorders,Opioid Substitution Treatment Clinic,"VA Pittsburgh Healthcare System, University Drive",Pittsburgh,PA,15240,(412) 360-6092,Certified
"Pinnacle Treatment Centers PA-IV, LLC",Summit Medical Services,3121 Smallman St.,Pittsburgh,PA,15201,(412) 255-8717,Certified
"Habit Opco, LLC",Habit OPCO - Pottstown,301 Circle of Progress,Pottstown,PA,19464,(610) 970-5410,Certified
"Northeast Family Health Care, LLC",Medical Director,1040 S. West End Boulevard,Quakertown,PA,18951-2634,(267) 347-4560,Certified
Pennsylvania Adult & Teen Challenge,Pennsylvania Adult & Teen Challenge,Pennsylvania Adult Teen Challenge,Rehrersburg,PA,19550-5000,(717) 933-4148,Certified
"Clear Choices, LLC",,373 Cleveland Street,Rochester,PA,15074,(724) 775-7905,Certified
PA Care LLC,State College Medical,3091 Enterprise Drive,State College,PA,16801,(814) 235-6988,Certified
"Metro Treatment of Pennsylvania, LP",New Season Uniontown,1023 Pittsburgh Road,Uniontown,PA,15401,(724) 912-6800,Certified
Crozer Chester Medical Center,Prospect Crozer Medical Center,1 medical center blvd,Upland,PA,19013,(610) 497-7459,Certified
"RHJ Medical Center, Inc./Vandergrift",,2994 River Road,Vandergrift,PA,15690,724-696-9600,Certified
SOAR CORP,SOAR CORP,655 LOUIS DRIVE,WARMINSTER,PA,18974,(215) 464-4450,Provisional
"Progressive Medical Specialist, Inc.",OTP,2453 West Pike Rd.,Washington,PA,15342,(724) 873-5655,Certified
"Echo Treatment Center, LLC",Methadone Clinic,50 east Wylie ave suites 2 and 3,washington,PA,15301,724-222-6220,Certified
"Habit Opco, LLC",Habit OPCO - Watsontown,759 Susquehanna Trail,Watsontown,PA,17777,(570) 538-1240,Certified
"Wilkes-Barre Behavioral Hospital Company, LLC.",CHOICES,Rear 307 Laird St.,Wilkes-Barre,PA,18705,(570) 408-9320,Certified
White Deer Run Cove Forge,,202 Cove Forge Road,Williamsburg,PA,16693,(800) 873-2131,Provisional
"Williamsport Family Medical Center, LLC",,2062 Lycoming Creek Road,Williamsport,PA,17701,(570) 505-1123,Certified
New Directions Treatment Services,,1 Park Plaza,Wyomissing,PA,19610,(610) 750-6130,Certified
White Deer Run of York,,106 Davies Drive,York,PA,17402,(717) 840-2308,Provisional
Pyramid Healthcare York Pharmacotherapy Services,,104 Davies Drive,York,PA,17402,(717) 840-2300,Certified
