Link Source,Link Target,Link Value,,Node Index,Node Category,Node Category 2,Node Name,Node Value,Percentage of Total,Node Label,,Node Index (Rows in same order as Figure 4),Node Value (Rows in same order as Figure 4)
26,40,369.3,,39,Healthcare,For family members of individual with OUD,Uninsured,6.3,0.21%,Uninsured - $6M (.21%),,0,170886
27,40,136.9,,40,,,"Federal, State, and Local Governments",855.7,28.88%,"Federal, State, and Local Governments - $856M (28.88%)",,40,49348
28,40,8.6,,41,,,Private Sector and Individuals,2107.6,71.12%,"Private Sector and Individuals - $2,108M (71.12%)",,41,121538
31,40,0.0,,,,,,,,,,,
32,40,10.2,,,,,,,,,,,
33,40,0.1,,,,,,,,,,,
36,40,10.0,,,,,,,,,,,
37,40,8.1,,,,,,,,,,,
38,40,0.5,,,,,,,,,,,
12,40,62.3,,,,,,,,,,,
13,40,27.4,,,,,,,,,,,
15,40,66.3,,,,,,,,,,,
16,40,21.3,,,,,,,,,,,
17,40,48.6,,,,,,,,,,,
18,40,10.2,,,,,,,,,,,
19,40,54.5,,,,,,,,,,,
5,40,21.3,,,,,,,,,,,
25,41,291.0,,,,,,,,,,,
29,41,107.0,,,,,,,,,,,
30,41,1.5,,,,,,,,,,,
34,41,1.0,,,,,,,,,,,
35,41,17.2,,,,,,,,,,,
39,41,6.3,,,,,,,,,,,
10,41,4.5,,,,,,,,,,,
11,41,1230.2,,,,,,,,,,,
14,41,14.6,,,,,,,,,,,
20,41,359.3,,,,,,,,,,,
21,41,59.5,,,,,,,,,,,
22,41,6.8,,,,,,,,,,,
23,41,0.6,,,,,,,,,,,
24,41,8.2,,,,,,,,,,,
