Link Source,Link Target,Link Value,,Node Index,Node Category,Node Category 2,Node Name,Node Value,Percentage of Total,Node Label
19,40,3236,,,,,,,,
5,40,1257,,,,,,,,
25,41,19151,,,,,,,,
29,41,7577,,,,,,,,
30,41,97,,,,,,,,
34,41,66,,,,,,,,
35,41,1130,,,,,,,,
39,41,447,,,,,,,,
10,41,270,,,,,,,,
11,41,73817,,,,,,,,
14,41,894,,,,,,,,
20,41,23094,,,,,,,,
21,41,3909,,,,,,,,
22,41,443,,,,,,,,
23,41,40,,,,,,,,
24,41,535,,,,,,,,
