Link Source,Link Target,Link Value,,Node Index,Node Category,Node Category 2,Node Name,Node Value,Percentage of Total,Node Label,,Node Index (Rows in same order as Figure 4),Node Value (Rows in same order as Figure 4)
38,40,0.5,,,,,,,,,,,
12,40,68.5,,,,,,,,,,,
13,40,29.8,,,,,,,,,,,
15,40,68.8,,,,,,,,,,,
16,40,21.6,,,,,,,,,,,
17,40,44.7,,,,,,,,,,,
18,40,9.7,,,,,,,,,,,
19,40,53.1,,,,,,,,,,,
5,40,20.7,,,,,,,,,,,
25,41,297.4,,,,,,,,,,,
29,41,118.1,,,,,,,,,,,
30,41,1.5,,,,,,,,,,,
34,41,1.0,,,,,,,,,,,
35,41,17.5,,,,,,,,,,,
39,41,7.0,,,,,,,,,,,
10,41,4.4,,,,,,,,,,,
11,41,1204.7,,,,,,,,,,,
14,41,14.4,,,,,,,,,,,
20,41,363.8,,,,,,,,,,,
21,41,60.8,,,,,,,,,,,
22,41,6.9,,,,,,,,,,,
23,41,0.6,,,,,,,,,,,
24,41,8.3,,,,,,,,,,,
