Link Source,Link Target,Link Value,,Node Index,Node Category,Node Category 2,Node Name,Node Value,Percentage of Total,Node Label,,Node Index (Rows in same order as Figure 4),Node Value (Rows in same order as Figure 4)
7,28,495,,27,Healthcare,For individuals with OUD,Medicaid,7896,4.62%,"Medicaid - $7,896M (4.62%)",,16,1231
7,29,6171,,28,Healthcare,For individuals with OUD,Other Public Insurance,495,0.29%,Other Public Insurance - $495M (.29%),,17,2805
8,30,86,,29,Healthcare,For individuals with OUD,Uninsured,6171,3.61%,"Uninsured - $6,171M (3.61%)",,18,587
8,31,0,,30,Healthcare,For infants born with NAS or NOWS,Commercial,86,0.05%,Commercial - $86M (.05%),,19,3143
8,32,586,,31,Healthcare,For infants born with NAS or NOWS,Medicare,N/A,#VALUE!,Medicare - N/A,,4,7766
8,33,7,,32,Healthcare,For infants born with NAS or NOWS,Medicaid,586,0.34%,Medicaid - $586M (.34%),,5,1231
8,34,56,,33,Healthcare,For infants born with NAS or NOWS,Other Public Insurance,7,0.00%,Other Public Insurance - $7M (.004%),,20,20717
9,35,990,,34,Healthcare,For infants born with NAS or NOWS,Uninsured,56,0.03%,Uninsured - $56M (.03%),,21,3433
9,36,579,,35,Healthcare,For family members of individual with OUD,Commercial,990,0.58%,Commercial - $990M (.58%),,22,393
9,37,466,,36,Healthcare,For family members of individual with OUD,Medicare,579,0.34%,Medicare - $579M (.34%),,23,36
9,38,29,,37,Healthcare,For family members of individual with OUD,Medicaid,466,0.27%,Medicaid - $466M (.27%),,24,470
9,39,364,,38,Healthcare,For family members of individual with OUD,Other Public Insurance,29,0.02%,Other Public Insurance - $29M (.02%),,6,25049
26,40,21297,,39,Healthcare,For family members of individual with OUD,Uninsured,364,0.21%,Uninsured - $364M (.21%),,0,170886
27,40,7896,,40,,,"Federal, State, and Local Governments",49348,28.88%,"Federal, State, and Local Governments - $49,348M (28.88%)",,40,49348
28,40,495,,41,,,Private Sector and Individuals,121538,71.12%,"Private Sector and Individuals - $121,538M (71.12%)",,41,121538
31,40,0,,,,,,,,,,,
32,40,586,,,,,,,,,,,
33,40,7,,,,,,,,,,,
36,40,579,,,,,,,,,,,
37,40,466,,,,,,,,,,,
38,40,29,,,,,,,,,,,
12,40,3590,,,,,,,,,,,
13,40,1580,,,,,,,,,,,
15,40,3826,,,,,,,,,,,
16,40,1231,,,,,,,,,,,
17,40,2805,,,,,,,,,,,
18,40,587,,,,,,,,,,,
19,40,3143,,,,,,,,,,,
5,40,1231,,,,,,,,,,,
25,41,16780,,,,,,,,,,,
29,41,6171,,,,,,,,,,,
30,41,86,,,,,,,,,,,
34,41,56,,,,,,,,,,,
35,41,990,,,,,,,,,,,
39,41,364,,,,,,,,,,,
10,41,259,,,,,,,,,,,
11,41,70943,,,,,,,,,,,
14,41,841,,,,,,,,,,,
20,41,20717,,,,,,,,,,,
21,41,3433,,,,,,,,,,,
22,41,393,,,,,,,,,,,
23,41,36,,,,,,,,,,,
24,41,470,,,,,,,,,,,
