ProgramName,Address,Zip,Buprenorphine?,Methadone?,Vivitrol?,Same-day induction during walk-in hours?,Phone,Website,Notes (DBHIDS TAD),IOP,OP,MH Tx
Merakey Behavioral Health,5429 Germantown Ave,19144,Yes,Yes,Yes,Yes,215-754-0240,http://www.nhsonline.org/,Walk-in: 7a-5:30p,Yes,Yes,Yes
Merakey Behavioral Health,100 E Lehigh Ave,19125,Yes,No,Yes,Yes,215-634-2520,http://www.nhsonline.org/,Walk-in: M-F 8a-5p,Yes,Yes,Yes
Merakey Behavioral Health,11082 Knights Road,19154,Yes,No,Yes,Yes,215-632-9040,http://www.nhsonline.org/,Walk-in: M-F 8a-5p,Yes,Yes,No
North Phila Health System - Goldman Clinic,801 W Girard Ave,19122,No,Yes,Yes,,215-787-2000,https://bewellctr.org/,Spanish,Yes,Yes,No
NET Centers,499 N 5th St,19123,Yes,No,Yes,,215-451-7100,http://netcenters.org/services/addiction-recovery-programs/#ffs-tabbed-14,--,Yes,Yes,Yes
NET Centers,2205 Bridge St,19137,Yes,Yes,Yes,Yes,215-743-6150,http://netcenters.org/services/addiction-recovery-programs/#ffs-tabbed-14,Walk-in: M-W 7a-5p Th 7-11a; F 7a-12p,Yes,Yes,Yes
NET Centers,7520 State Road,19136,Yes,Yes,Yes,Yes,267-348-3550,http://netcenters.org/services/addiction-recovery-programs/#ffs-tabbed-14,Child care on site; Walk-in hours [noted but not specified],Yes,Yes,Yes
NET Centers,"4625 Frankford Ave, 2nd Fl",19124,Yes,No,No,Yes,267-597-3920,http://netcenters.org/services/addiction-recovery-programs/#ffs-tabbed-14,Spanish; MH Tx 1st FL; Walk-in: M-F 9a-4p,No,Yes,Yes
Pathways to Housing*,"5201 Old York Road, Suite 108",19141,Yes,No,Yes,,215-390-1500,http://pathwaystohousingpa.org/,Spanish; Housing Assistance,No,No,No
Pathways to Recovery (PHMC),2301 East Allegheny Ave,19134,Yes,Yes,Yes,,215-731-2402,,"[>IOP>OP:] Partial Hospital Program; [MMT = clinic coordination, not induction]; Spanish",No,No,Yes
Penn Medicine Presbyterian Medical Center*,"3910 Powelton Ave, 5th Fl",19104,Yes,No,No,,267-809-5080,http://www.pennmedicine.org/penn-presbyterian-medical-center/,Spanish,Yes,Yes,No
Penn Medicine Mothers Matter Program*,"3400 Spruce St, 1 West Gates",19103,Yes,No,No,,267-593-2969,https://www.med.upenn.edu/penn-promotes/mothers-matter.pdf,Pregnant Women,No,No,No
PHMC Care Clinic MAT Program*,"1200 Callowhill St, 1st Floor",19123,Yes,No,Yes,,267-398-0247,http://www.phmc.org/site/programs/health-care-centers/375-phmc-care-clinic,Health Care Center; Spanish; PCP,No,No,No
Prevention Point*,2913-2915 Kensington Ave,19134,Yes,No,Yes,,215-634-5272,https://ppponline.org/,Harm Reduction Svcs; Spanish,No,No,No
Project Home*,1515 Fairmount Ave,19104,Yes,No,Yes,,215-320-6187 ext. 5756,http://www.projecthome.org/,Housing Assistance,No,No,No
Soar Corp,"9150 Marshall St, Suite 2",19114,No,Yes,No,,215-464-4450,http://www.soarcorp.org/,--,Yes,Yes,No
Thomas Jefferson University Family Center*,"1233 Locust St, Suite 201",19107,No,Yes,No,,215-955-8577,http://hospitals.jefferson.edu/departments-and-services/maternal-fetal-medicine/maternal-addiction-treatment-education-and-research.html,"*MATER; Females only, pregnancy, child care on site",Yes,Yes,Yes
Thomas Jefferson University (NARP)*,21st & Washington Ave,19147,No,Yes,No,,215-735-5979,http://hospitals.jefferson.edu/diseases-and-conditions/substance-abuse.html,Spanish,Yes,Yes,Yes
Temple TWO Program*,3401 N Broad St,19140,Yes,No,No,,215-707-3008,,Partners with the Wedge MC; OB-GYN Svcs,No,No,No
Wedge Medical Center*,3609 N Broad St,19140,Yes,No,Yes,Yes,215-276-3922,http://www.wedgepc.com/,Partners with Temple TWO; Walk-in: M-W 2-3:30p; Spanish,Yes,Yes,Yes
Wedge Medical Center*,2009 S Broad St,19148,Yes,No,Yes,Yes,215-276-3922,http://www.wedgepc.com/,Partners with Temple TWO: Walk-in: M 2-3:30p,Yes,Yes,Yes
Wedge Medical Center*,4243 Frankford Ave,19124,Yes,No,Yes,Yes,215-276-3922,http://www.wedgepc.com/,Partners with Temple TWO; Walk-in: T 2-3:30p,Yes,Yes,Yes
NET Centers,2701 N Broad St,19132,Yes,No,Yes,,215-226-1600,http://netcenters.org/services/addiction-recovery-programs/#ffs-tabbed-14,--,Yes,Yes,
NET Centers,5501 Chestnut St,19139,Yes,No,Yes,,215-747-6480,http://netcenters.org/services/addiction-recovery-programs/#ffs-tabbed-14,--,Yes,Yes,
Belmont Behavioral Health Hospital,4200 Monument Rd,19131,No,No,Yes,,877-418-7923,http://www.belmontbehavioral.com/,Spanish,Yes,Yes,No
Friends Hospital,4641 Roosevelt Blvd,19124,Crisis response center,,,,215-831-2600,,,,,
Mercy Hospital,501 South 54th St,19143,Crisis response center,,,,215-748-9525,,,,,
Einstein Medical Center,5501 Old York Rd,19141,Crisis response center,,,,215-951-8300,,,,,
Pennsylvania Hospital (Hall Mercer),245 South 8th St,19106,Crisis response center,,,,215-829-5433,,,,,
Temple/Episcopal Hospital,100 East Lehigh Ave,19125,Crisis response center,,,,215-707-2577,,,,,
Philadelphia Children's Crisis Response Center,"3300 Henry Ave, Falls Two Building, 3rd Floor",19129,Crisis response center,,,,215-878-2600,,,,,
