DocSort,HealthCenter,Address,Zip,MAT,Buprenorphine Providers,ShortName,Phone,Website,Notes,
33,"Greater Philadelphia Health Action, Inc. 
Woodland Avenue Health Center",5000 Woodland Avenue,19143,No,0,GPHA: Woodland Ave,215-726-9807,https://www.gphainc.org/locations/,,(Report said zero GPHA locations provide MAT)
34,"Greater Philadelphia Health Action, Inc. 
Frankford Avenue Health Center",4500-4510 Frankford Aveune,19124,No,0,GPHA: Frankford Ave,215-744-1302,https://www.gphainc.org/locations/,,(Report said zero GPHA locations provide MAT)
35,"Greater Philadelphia Health Action, Inc. 
4th Street Medical Suite",1401 S. 4th Street,19147,No,0,GPHA: 4th St MedSuite,215-339-1079,https://www.gphainc.org/locations/,,(Report said zero GPHA locations provide MAT)
36,"Greater Philadelphia Health Action, Inc. 
Carl Moore Health Center",1401 S. 31st Street,19146,No,0,GPHA: Carl Moore,215-755-7700,https://www.gphainc.org/locations/,,(Report said zero GPHA locations provide MAT)
37,"Greater Philadelphia Health Action, Inc. 
Chinatown Medical Services",432 North 6th Street,19123,No,0,GPHA: Chinatown,215-627-8000,https://www.gphainc.org/locations/,,(Report said zero GPHA locations provide MAT)
38,"Greater Philadelphia Health Action, Inc. 
Snyder Avenue Dental Center",640 Snyder Avenue,19148,No,0,GPHA: Snyder Ave,215-334-4900,https://www.gphainc.org/locations/,,(Report said zero GPHA locations provide MAT)
39,"Greater Philadelphia Health Action, Inc. 
Southeast Health Center",800 Washington Avenue,19147,No,0,GPHA: Southeast,215-339-5100,https://www.gphainc.org/locations/,,(Report said zero GPHA locations provide MAT)
40,"Greater Philadelphia Health Action, Inc. 
GPHA Spectrum Behavioral Services","1489 Baltimore Pike
Building 300, Suite 300",19064,No,0,GPHA: Spectrum Behavioral,484-472-7430,https://www.gphainc.org/locations/,,(Report said zero GPHA locations provide MAT)
41,"Public Health Management Corporation 
Pathways to Recovery",2301 East Allegheny Ave.,19134,Yes,??,PHMC: Pathways to Recovery,215-731-2402,http://www.phmc.org/site/32-misc/shared-programs/1242-pathways-to-recovery,,
43,"Public Health Management Corporation 
Congreso Health Center",412 W. Lehigh Avenue,19133,Unclear,0?,PHMC: Congreso,267-765-2272,https://www.phmc.org/site/programs/health-care-centers/congreso-health-center,,"(Report said that, for PHMC, only Pathways to Recovery site offers MAT)"
44,"Public Health Management Corporation 
Health Connection",1900 N. 9th Street,19122,Unclear,0?,PHMC: Health Connection,215-765-6690,https://www.phmc.org/site/programs/health-care-centers/phmc-health-connection,,"(Report said that, for PHMC, only Pathways to Recovery site offers MAT)"
45,"Public Health Management Corporation 
Care Clinic","1200 Callowhill Street
Suite 101",19123,Unclear,0?,PHMC: Care Clinic,215-825-8220,https://www.phmc.org/site/programs/health-care-centers/375-phmc-care-clinic,,"(Report said that, for PHMC, only Pathways to Recovery site offers MAT)"
46,"Public Health Management Corporation 
Mary Howard Health Center",125 S. 9th Street,19107,Unclear,0?,PHMC: Mary Howard,215-592-4500,https://www.phmc.org/site/programs/health-care-centers/mary-howard,,"(Report said that, for PHMC, only Pathways to Recovery site offers MAT)"
47,"Public Health Management Corporation 
Rising Sun Health Center",5675 N. Front Street,19120,Unclear,0?,PHMC: Rising Sun,215-279-9666,https://www.phmc.org/site/programs/health-care-centers/rising-sun,,"(Report said that, for PHMC, only Pathways to Recovery site offers MAT)"
48,"Philadelphia Fight 
Jonathan Lax Treatment Center","1233 Locust Street
3rd Floor",19107,Yes,??,Jonathan Lax Ctr,215-790-1788,https://fight.org/programs/lax-center/,MAT only for HIV positive. Phone number for new patients: 267-725-0252,
50,"Philadelphia Fight 
John Bell Health Center","1207 Chestnut Street
3rd Floor",19107,Yes,0,John Bell Ctr,215-790-1788,https://fight.org/programs/john-bell-center/,Vivitrol only. Phone number for new patients: 267-725-0252 | Dental practice on 3rd floor. Pediatric and adolescent clinic on 5th floor.,
52,Pathways to Housing,"5201 Old York Road
Suite 108",19141,Yes,??,Pathways to Housing,215-390-1500,http://pathwaystohousingpa.org/,,(See also DBHIDS TAD)
53,"Project Home
Hub of Hope","1401 Arch Street
Lower Level, Suburban Station Concourse",19102,Yes,??,Hub of Hope,215-309-5225,https://www.projecthome.org/hubofhope,,
54,"Project Home 
Stephen Klein Wellness Center",2144 Cecil B. Moore Avenue,19121,Yes,??,Stephen Klein,"215-320-6187, ext. 5757",https://www.projecthome.org/skwc,,
55,"Quality Community Health Care 
QCHC Family Health Center",2501 West Lehigh Avenue,19132,No,0,QCHC,215-227-0300,https://qchc.org/,,(Report said no MAT at any QCHC site)
56,"Quality Community Health Care 
Meade Family Health Center",1800 West Oxford,19121,No,0,QCHC: Meade,215-765-9501,https://qchc.org/,,(Report said no MAT at any QCHC site)
57,"Quality Community Health Care 
Cooke Family Health Center",1300 W. Loudon Street,19141,No,0,QCHC: Cooke,215-457-6902,https://qchc.org/,,(Report said no MAT at any QCHC site)
58,Sayre Health Center,5800 Walnut Street,19139,No,0,Sayre,215-474-4444,http://www.sayrehealth.org/,,(Report said no MAT offered at Sayre)
59,"Spectrum Health Services 
Broad Street Health Center
Progressive Human Service Building",1415 North Broad Street,19122,Yes,??,Spectrum: BSHC,215-235-7944,https://www.spectrumhs.org/locations/broad-street-health-center-bshc/,,
60,"Spectrum Health Services 
Reed Street Health Center",1325 South 33rd Street,19146,Yes,??,Spectrum: RSHC,215-220-3925,https://www.spectrumhs.org/locations/reed-street-health-center-rshc/,,
61,"Spectrum Health Services 
Spectrum Community Health Center",5201 Haverford Avenue,19139,Yes,??,Spectrum: SCHC,215-471-2761,https://www.spectrumhs.org/locations/spectrum-community-health-center-schc/,Includes single pharmacy (RiteChoice) for all three Spectrum sites.,
